path,name,class,stem,group,split
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (195)_g430_flip.jpg,image (195)_g430_flip.jpg,Grape_spot,image (195)_g430_flip,image (195),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (151)_g782_original.jpg,image (151)_g782_original.jpg,Grape_spot,image (151)_g782_original,image (151),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (534)_g252_flip.jpg,image (534)_g252_flip.jpg,Grape_spot,image (534)_g252_flip,image (534),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (856)_g1329_flip.jpg,image (856)_g1329_flip.jpg,Grape_spot,image (856)_g1329_flip,image (856),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (1)_g526_rotate.jpg,image (1)_g526_rotate.jpg,Grape_spot,image (1)_g526_rotate,image (1),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (795)_g1070_crop.jpg,image (795)_g1070_crop.jpg,Grape_spot,image (795)_g1070_crop,image (795),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (794)_g1148_crop.jpg,image (794)_g1148_crop.jpg,Grape_spot,image (794)_g1148_crop,image (794),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (58)_g682_shear.jpg,image (58)_g682_shear.jpg,Grape_spot,image (58)_g682_shear,image (58),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (237)_g1470_rotate.jpg,image (237)_g1470_rotate.jpg,Grape_spot,image (237)_g1470_rotate,image (237),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (765)_g304_rotate.jpg,image (765)_g304_rotate.jpg,Grape_spot,image (765)_g304_rotate,image (765),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (486)_g443_distortion.jpg,image (486)_g443_distortion.jpg,Grape_spot,image (486)_g443_distortion,image (486),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (1015)_g181_distortion.jpg,image (1015)_g181_distortion.jpg,Grape_spot,image (1015)_g181_distortion,image (1015),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (1031)_g1586_distortion.jpg,image (1031)_g1586_distortion.jpg,Grape_spot,image (1031)_g1586_distortion,image (1031),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (1040)_g91_flip.jpg,image (1040)_g91_flip.jpg,Grape_spot,image (1040)_g91_flip,image (1040),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (985)_g1440_rotate.jpg,image (985)_g1440_rotate.jpg,Grape_spot,image (985)_g1440_rotate,image (985),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (801)_g1316_original.jpg,image (801)_g1316_original.jpg,Grape_spot,image (801)_g1316_original,image (801),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (260)_g758_original.jpg,image (260)_g758_original.jpg,Grape_spot,image (260)_g758_original,image (260),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (419)_g1126_distortion.jpg,image (419)_g1126_distortion.jpg,Grape_spot,image (419)_g1126_distortion,image (419),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (577)_g784_shear.jpg,image (577)_g784_shear.jpg,Grape_spot,image (577)_g784_shear,image (577),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (573)_g1430_crop.jpg,image (573)_g1430_crop.jpg,Grape_spot,image (573)_g1430_crop,image (573),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (896)_g186_shear.jpg,image (896)_g186_shear.jpg,Grape_spot,image (896)_g186_shear,image (896),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (149)_g1107_flip.jpg,image (149)_g1107_flip.jpg,Grape_spot,image (149)_g1107_flip,image (149),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (76)_g942_rotate.jpg,image (76)_g942_rotate.jpg,Grape_spot,image (76)_g942_rotate,image (76),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (590)_g645_rotate.jpg,image (590)_g645_rotate.jpg,Grape_spot,image (590)_g645_rotate,image (590),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (773)_g86_rotate.jpg,image (773)_g86_rotate.jpg,Grape_spot,image (773)_g86_rotate,image (773),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (750)_g1191_crop.jpg,image (750)_g1191_crop.jpg,Grape_spot,image (750)_g1191_crop,image (750),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (198)_g748_distortion.jpg,image (198)_g748_distortion.jpg,Grape_spot,image (198)_g748_distortion,image (198),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (13)_g1436_flip.jpg,image (13)_g1436_flip.jpg,Grape_spot,image (13)_g1436_flip,image (13),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (508)_g1016_shear.jpg,image (508)_g1016_shear.jpg,Grape_spot,image (508)_g1016_shear,image (508),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (26)_g352_shear.jpg,image (26)_g352_shear.jpg,Grape_spot,image (26)_g352_shear,image (26),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (172)_g1195_flip.jpg,image (172)_g1195_flip.jpg,Grape_spot,image (172)_g1195_flip,image (172),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (447)_g811_rotate.jpg,image (447)_g811_rotate.jpg,Grape_spot,image (447)_g811_rotate,image (447),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (789)_g699_crop.jpg,image (789)_g699_crop.jpg,Grape_spot,image (789)_g699_crop,image (789),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (30)_g321_rotate.jpg,image (30)_g321_rotate.jpg,Grape_spot,image (30)_g321_rotate,image (30),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (916)_g911_original.jpg,image (916)_g911_original.jpg,Grape_spot,image (916)_g911_original,image (916),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (372)_g1029_original.jpg,image (372)_g1029_original.jpg,Grape_spot,image (372)_g1029_original,image (372),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (195)_g1505_crop.jpg,image (195)_g1505_crop.jpg,Grape_spot,image (195)_g1505_crop,image (195),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (461)_g1011_shear.jpg,image (461)_g1011_shear.jpg,Grape_spot,image (461)_g1011_shear,image (461),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (976)_g1635_crop.jpg,image (976)_g1635_crop.jpg,Grape_spot,image (976)_g1635_crop,image (976),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (29)_g1266_crop.jpg,image (29)_g1266_crop.jpg,Grape_spot,image (29)_g1266_crop,image (29),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (106)_g913_crop.jpg,image (106)_g913_crop.jpg,Grape_spot,image (106)_g913_crop,image (106),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (106)_g913_shear.jpg,image (106)_g913_shear.jpg,Grape_spot,image (106)_g913_shear,image (106),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (265)_g1276_distortion.jpg,image (265)_g1276_distortion.jpg,Grape_spot,image (265)_g1276_distortion,image (265),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (433)_g1375_shear.jpg,image (433)_g1375_shear.jpg,Grape_spot,image (433)_g1375_shear,image (433),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (655)_g1048_crop.jpg,image (655)_g1048_crop.jpg,Grape_spot,image (655)_g1048_crop,image (655),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (910)_g713_flip.jpg,image (910)_g713_flip.jpg,Grape_spot,image (910)_g713_flip,image (910),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (616)_g976_crop.jpg,image (616)_g976_crop.jpg,Grape_spot,image (616)_g976_crop,image (616),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (125)_g902_crop.jpg,image (125)_g902_crop.jpg,Grape_spot,image (125)_g902_crop,image (125),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (262)_g894_rotate.jpg,image (262)_g894_rotate.jpg,Grape_spot,image (262)_g894_rotate,image (262),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (355)_g1269_flip.jpg,image (355)_g1269_flip.jpg,Grape_spot,image (355)_g1269_flip,image (355),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (923)_g1382_original.jpg,image (923)_g1382_original.jpg,Grape_spot,image (923)_g1382_original,image (923),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (582)_g522_flip.jpg,image (582)_g522_flip.jpg,Grape_spot,image (582)_g522_flip,image (582),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (291)_g797_flip.jpg,image (291)_g797_flip.jpg,Grape_spot,image (291)_g797_flip,image (291),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (350)_g1152_rotate.jpg,image (350)_g1152_rotate.jpg,Grape_spot,image (350)_g1152_rotate,image (350),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (56)_g117_crop.jpg,image (56)_g117_crop.jpg,Grape_spot,image (56)_g117_crop,image (56),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (372)_g1029_distortion.jpg,image (372)_g1029_distortion.jpg,Grape_spot,image (372)_g1029_distortion,image (372),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (362)_g1347_rotate.jpg,image (362)_g1347_rotate.jpg,Grape_spot,image (362)_g1347_rotate,image (362),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (217)_g24_crop.jpg,image (217)_g24_crop.jpg,Grape_spot,image (217)_g24_crop,image (217),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (570)_g737_flip.jpg,image (570)_g737_flip.jpg,Grape_spot,image (570)_g737_flip,image (570),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (551)_g1252_shear.jpg,image (551)_g1252_shear.jpg,Grape_spot,image (551)_g1252_shear,image (551),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (169)_g185_crop.jpg,image (169)_g185_crop.jpg,Grape_spot,image (169)_g185_crop,image (169),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (384)_g271_crop.jpg,image (384)_g271_crop.jpg,Grape_spot,image (384)_g271_crop,image (384),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (50)_g695_crop.jpg,image (50)_g695_crop.jpg,Grape_spot,image (50)_g695_crop,image (50),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (47)_g1147_original.jpg,image (47)_g1147_original.jpg,Grape_spot,image (47)_g1147_original,image (47),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (5)_g357_original.jpg,image (5)_g357_original.jpg,Grape_spot,image (5)_g357_original,image (5),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (707)_g1555_crop.jpg,image (707)_g1555_crop.jpg,Grape_spot,image (707)_g1555_crop,image (707),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (757)_g879_rotate.jpg,image (757)_g879_rotate.jpg,Grape_spot,image (757)_g879_rotate,image (757),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (460)_g1511_distortion.jpg,image (460)_g1511_distortion.jpg,Grape_spot,image (460)_g1511_distortion,image (460),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (711)_g864_rotate.jpg,image (711)_g864_rotate.jpg,Grape_spot,image (711)_g864_rotate,image (711),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (23)_g468_flip.jpg,image (23)_g468_flip.jpg,Grape_spot,image (23)_g468_flip,image (23),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (149)_g1107_distortion.jpg,image (149)_g1107_distortion.jpg,Grape_spot,image (149)_g1107_distortion,image (149),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (401)_g580_original.jpg,image (401)_g580_original.jpg,Grape_spot,image (401)_g580_original,image (401),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (945)_g791_flip.jpg,image (945)_g791_flip.jpg,Grape_spot,image (945)_g791_flip,image (945),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (157)_g441_rotate.jpg,image (157)_g441_rotate.jpg,Grape_spot,image (157)_g441_rotate,image (157),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (211)_g266_rotate.jpg,image (211)_g266_rotate.jpg,Grape_spot,image (211)_g266_rotate,image (211),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (243)_g1303_original.jpg,image (243)_g1303_original.jpg,Grape_spot,image (243)_g1303_original,image (243),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (1032)_g566_original.jpg,image (1032)_g566_original.jpg,Grape_spot,image (1032)_g566_original,image (1032),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (880)_g764_rotate.jpg,image (880)_g764_rotate.jpg,Grape_spot,image (880)_g764_rotate,image (880),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (579)_g947_flip.jpg,image (579)_g947_flip.jpg,Grape_spot,image (579)_g947_flip,image (579),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (30)_g321_distortion.jpg,image (30)_g321_distortion.jpg,Grape_spot,image (30)_g321_distortion,image (30),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (556)_g518_original.jpg,image (556)_g518_original.jpg,Grape_spot,image (556)_g518_original,image (556),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (252)_g819_original.jpg,image (252)_g819_original.jpg,Grape_spot,image (252)_g819_original,image (252),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (72)_g1140_rotate.jpg,image (72)_g1140_rotate.jpg,Grape_spot,image (72)_g1140_rotate,image (72),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (725)_g311_shear.jpg,image (725)_g311_shear.jpg,Grape_spot,image (725)_g311_shear,image (725),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (865)_g1088_distortion.jpg,image (865)_g1088_distortion.jpg,Grape_spot,image (865)_g1088_distortion,image (865),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (737)_g198_distortion.jpg,image (737)_g198_distortion.jpg,Grape_spot,image (737)_g198_distortion,image (737),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (786)_g1277_rotate.jpg,image (786)_g1277_rotate.jpg,Grape_spot,image (786)_g1277_rotate,image (786),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (728)_g840_rotate.jpg,image (728)_g840_rotate.jpg,Grape_spot,image (728)_g840_rotate,image (728),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (46)_g1528_original.jpg,image (46)_g1528_original.jpg,Grape_spot,image (46)_g1528_original,image (46),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (307)_g1060_rotate.jpg,image (307)_g1060_rotate.jpg,Grape_spot,image (307)_g1060_rotate,image (307),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (669)_g1141_original.jpg,image (669)_g1141_original.jpg,Grape_spot,image (669)_g1141_original,image (669),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (346)_g124_flip.jpg,image (346)_g124_flip.jpg,Grape_spot,image (346)_g124_flip,image (346),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (297)_g20_shear.jpg,image (297)_g20_shear.jpg,Grape_spot,image (297)_g20_shear,image (297),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (550)_g1561_distortion.jpg,image (550)_g1561_distortion.jpg,Grape_spot,image (550)_g1561_distortion,image (550),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (365)_g288_distortion.jpg,image (365)_g288_distortion.jpg,Grape_spot,image (365)_g288_distortion,image (365),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (186)_g1073_shear.jpg,image (186)_g1073_shear.jpg,Grape_spot,image (186)_g1073_shear,image (186),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (65)_g945_distortion.jpg,image (65)_g945_distortion.jpg,Grape_spot,image (65)_g945_distortion,image (65),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (49)_g1163_shear.jpg,image (49)_g1163_shear.jpg,Grape_spot,image (49)_g1163_shear,image (49),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (897)_g1305_crop.jpg,image (897)_g1305_crop.jpg,Grape_spot,image (897)_g1305_crop,image (897),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (912)_g1473_distortion.jpg,image (912)_g1473_distortion.jpg,Grape_spot,image (912)_g1473_distortion,image (912),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (748)_g805_original.jpg,image (748)_g805_original.jpg,Grape_spot,image (748)_g805_original,image (748),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (609)_g1020_crop.jpg,image (609)_g1020_crop.jpg,Grape_spot,image (609)_g1020_crop,image (609),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (148)_g1288_original.jpg,image (148)_g1288_original.jpg,Grape_spot,image (148)_g1288_original,image (148),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (89)_g1459_distortion.jpg,image (89)_g1459_distortion.jpg,Grape_spot,image (89)_g1459_distortion,image (89),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (899)_g28_shear.jpg,image (899)_g28_shear.jpg,Grape_spot,image (899)_g28_shear,image (899),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (207)_g540_rotate.jpg,image (207)_g540_rotate.jpg,Grape_spot,image (207)_g540_rotate,image (207),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (472)_g358_crop.jpg,image (472)_g358_crop.jpg,Grape_spot,image (472)_g358_crop,image (472),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (252)_g819_distortion.jpg,image (252)_g819_distortion.jpg,Grape_spot,image (252)_g819_distortion,image (252),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (72)_g65_rotate.jpg,image (72)_g65_rotate.jpg,Grape_spot,image (72)_g65_rotate,image (72),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (712)_g1340_distortion.jpg,image (712)_g1340_distortion.jpg,Grape_spot,image (712)_g1340_distortion,image (712),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (412)_g1523_original.jpg,image (412)_g1523_original.jpg,Grape_spot,image (412)_g1523_original,image (412),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (332)_g969_rotate.jpg,image (332)_g969_rotate.jpg,Grape_spot,image (332)_g969_rotate,image (332),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (1002)_g604_shear.jpg,image (1002)_g604_shear.jpg,Grape_spot,image (1002)_g604_shear,image (1002),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (794)_g73_original.jpg,image (794)_g73_original.jpg,Grape_spot,image (794)_g73_original,image (794),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (816)_g316_shear.jpg,image (816)_g316_shear.jpg,Grape_spot,image (816)_g316_shear,image (816),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (1064)_g1201_rotate.jpg,image (1064)_g1201_rotate.jpg,Grape_spot,image (1064)_g1201_rotate,image (1064),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (989)_g1160_shear.jpg,image (989)_g1160_shear.jpg,Grape_spot,image (989)_g1160_shear,image (989),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (315)_g756_flip.jpg,image (315)_g756_flip.jpg,Grape_spot,image (315)_g756_flip,image (315),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (505)_g1564_shear.jpg,image (505)_g1564_shear.jpg,Grape_spot,image (505)_g1564_shear,image (505),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (423)_g1491_shear.jpg,image (423)_g1491_shear.jpg,Grape_spot,image (423)_g1491_shear,image (423),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (594)_g499_original.jpg,image (594)_g499_original.jpg,Grape_spot,image (594)_g499_original,image (594),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (327)_g103_flip.jpg,image (327)_g103_flip.jpg,Grape_spot,image (327)_g103_flip,image (327),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (366)_g691_crop.jpg,image (366)_g691_crop.jpg,Grape_spot,image (366)_g691_crop,image (366),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (489)_g1569_rotate.jpg,image (489)_g1569_rotate.jpg,Grape_spot,image (489)_g1569_rotate,image (489),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (517)_g372_crop.jpg,image (517)_g372_crop.jpg,Grape_spot,image (517)_g372_crop,image (517),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (1038)_g675_rotate.jpg,image (1038)_g675_rotate.jpg,Grape_spot,image (1038)_g675_rotate,image (1038),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (527)_g1109_rotate.jpg,image (527)_g1109_rotate.jpg,Grape_spot,image (527)_g1109_rotate,image (527),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (1026)_g787_crop.jpg,image (1026)_g787_crop.jpg,Grape_spot,image (1026)_g787_crop,image (1026),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (288)_g142_crop.jpg,image (288)_g142_crop.jpg,Grape_spot,image (288)_g142_crop,image (288),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (527)_g34_distortion.jpg,image (527)_g34_distortion.jpg,Grape_spot,image (527)_g34_distortion,image (527),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (696)_g1164_flip.jpg,image (696)_g1164_flip.jpg,Grape_spot,image (696)_g1164_flip,image (696),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (64)_g154_distortion.jpg,image (64)_g154_distortion.jpg,Grape_spot,image (64)_g154_distortion,image (64),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (1042)_g978_distortion.jpg,image (1042)_g978_distortion.jpg,Grape_spot,image (1042)_g978_distortion,image (1042),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (221)_g439_distortion.jpg,image (221)_g439_distortion.jpg,Grape_spot,image (221)_g439_distortion,image (221),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (991)_g583_flip.jpg,image (991)_g583_flip.jpg,Grape_spot,image (991)_g583_flip,image (991),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (281)_g1134_original.jpg,image (281)_g1134_original.jpg,Grape_spot,image (281)_g1134_original,image (281),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (730)_g1149_shear.jpg,image (730)_g1149_shear.jpg,Grape_spot,image (730)_g1149_shear,image (730),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (218)_g1177_shear.jpg,image (218)_g1177_shear.jpg,Grape_spot,image (218)_g1177_shear,image (218),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (46)_g1528_flip.jpg,image (46)_g1528_flip.jpg,Grape_spot,image (46)_g1528_flip,image (46),train
